_unit_id,_golden,_unit_state,trusted_judgements,_last_judgment_at,type_of_message,confidence_score,url_or_name_of_the_stationchannel,what,category,Actual_unr_tweets,tweet,type,type_of_message_gold,url_or_name_of_the_stationchannel_gold,user,what_gold
787446600,TRUE,golden,6,11/29/2024 3:50,Authorities issue warnings regarding the approaching hurricane.,0.6623,,Discussion of public safety advisories during storms.,Informative (Direct),Powerful winds topple trees and disrupt transportation networks.,Hurricane Sandy causes widespread power outages in the region.,Information Source,,http://goldensite.com,user_2182,Specific detail 0: Emergency response update.
899892807,TRUE,golden,9,8/4/2024 3:50,Alert: Emergency response to ongoing hurricane impacts.,0.9889,http://example.com,Information about emergency measures in affected areas.,Informative (Direct),Powerful winds topple trees and disrupt transportation networks.,Stay informed: Monitor official channels for weather updates.,Information Source,None of the above,http://goldensite.com,user_8410,Specific detail 1: Emergency response update.
837746937,TRUE,golden,6,3/1/2024 3:50,Storm-related news: Damage reports and safety tips.,0.5773,http://sampleurl.com,Insights on the role of social media in storm updates.,Informative (Indirect),Flood warnings in effect as heavy rains continue to pour.,Storm surge causes significant coastal flooding in the area.,Opinion,,http://goldensite.com,user_7580,Specific detail 2: Emergency response update.
393061356,FALSE,golden,7,10/4/2024 3:50,Public advisory: Stay indoors during severe weather events.,0.3597,http://example.com,Information about emergency measures in affected areas.,Informative (Indirect),Storm surge causes significant coastal flooding in the area.,Local authorities set up shelters for displaced families.,Opinion,,,user_2753,Specific detail 3: Emergency response update.
986777878,TRUE,not_golden,9,1/16/2024 3:50,Storm-related news: Damage reports and safety tips.,0.6091,http://example.com,Details about evacuation plans and shelter availability.,Informative (Direct),Hurricane Sandy causes widespread power outages in the region.,Hurricane Sandy causes widespread power outages in the region.,Opinion,None of the above,http://goldensite.com,user_6686,Specific detail 4: Emergency response update.
295114037,FALSE,golden,2,7/4/2024 3:50,Critical information for affected regions: Hurricane precautions.,0.9271,http://example.com,Information about emergency measures in affected areas.,None of the above,Stay informed: Monitor official channels for weather updates.,Emergency responders work tirelessly amid the storm's impact.,Opinion,None of the above,http://goldensite.com,user_8048,Specific detail 5: Emergency response update.
651504027,FALSE,golden,7,12/2/2024 3:50,Storm-related news: Damage reports and safety tips.,0.5733,http://example.com,Information about emergency measures in affected areas.,Informative (Direct),Powerful winds topple trees and disrupt transportation networks.,Emergency responders work tirelessly amid the storm's impact.,Information Source,,http://goldensite.com,user_8394,Specific detail 6: Emergency response update.
888378155,TRUE,not_golden,10,11/28/2024 3:50,Breaking news update on severe weather conditions.,0.6383,http://example.com,Overview of recovery efforts in disaster-struck regions.,None of the above,Local authorities set up shelters for displaced families.,Local authorities set up shelters for displaced families.,Information Source,None of the above,,user_1674,Specific detail 7: Emergency response update.
688463991,FALSE,golden,7,8/11/2024 3:50,Critical information for affected regions: Hurricane precautions.,0.5298,,Information about emergency measures in affected areas.,Informative (Indirect),Emergency responders work tirelessly amid the storm's impact.,Storm surge causes significant coastal flooding in the area.,Information Source,,http://goldensite.com,user_5442,Specific detail 8: Emergency response update.
228543683,TRUE,golden,9,11/7/2024 3:50,Alert: Emergency response to ongoing hurricane impacts.,0.4437,http://sampleurl.com,Description of recent hurricane impact and its aftermath.,None of the above,Hurricane Sandy causes widespread power outages in the region.,Flood warnings in effect as heavy rains continue to pour.,Information Source,Look at this web site/page,,user_3282,Specific detail 9: Emergency response update.
